slug,isin,as_of,checked,benchmark
bajaj-finserv-healthcare-fund-direct-growth,INF0QA701AB9,2026-08-31,2026-09-26,BSE Healthcare Total Return Index
bajaj-finserv-large-cap-fund-direct-growth,INF0QA701896,2026-08-31,2026-09-26,NIFTY 100 Total Return Index
bajaj-finserv-large-mid-cap-fund-direct-growth,INF0QA701763,2026-08-31,2026-09-26,NIFTY Large Midcap 250 Total Return Index
bajaj-finserv-liquid-fund-direct-growth,INF0QA701011,2026-08-31,2026-09-26,NIFTY Liquid Index A-I
bajaj-finserv-money-market-fund-direct-growth,INF0QA701334,2026-08-31,2026-09-26,NIFTY Money Market Index A-I
bajaj-finserv-multi-asset-allocation-fund-direct-growth,INF0QA701821,2026-08-31,2026-09-26,
bajaj-finserv-multi-cap-fund-direct-growth,INF0QA701AV7,2026-08-31,2026-09-26,Nifty 500 Multicap 50:25:25 Total Return Index
bajaj-finserv-nifty-50-index-fund-direct-growth,INF0QA701BA9,2026-08-31,2026-09-26,NIFTY 50 Total Return Index
bajaj-finserv-nifty-next-50-index-fund-direct-growth,INF0QA701BG6,2026-08-31,2026-09-26,NIFTY Next 50 Total Return Index
bajaj-finserv-overnight-fund-direct-growth,INF0QA701177,2026-08-31,2026-09-26,CRISIL Liquid Overnight Index
bajaj-finserv-small-cap-fund-direct-growth,INF0QA701BN2,2026-08-31,2026-09-26,BSE 250 SmallCap Total Return Index
bajaj-finserv-ultra-short-to-short-term-fund-direct-growth,INF0QA701CF6,2026-08-31,2026-09-26,NIFTY Low Duration Debt Index A-I
bandhan-10-year-constant-maturity-gilt-fund-direct-growth,INF194K01P38,2026-08-31,2026-09-26,CRISIL 10-Year Gilt
bandhan-aggressive-hybrid-fund-direct-growth,INF194KA1U56,2026-08-31,2026-09-26,CRISIL Hybrid 35+65 Aggressive Index
bandhan-banking-and-psu-debt-fund-direct-growth,INF194K015G8,2026-08-31,2026-09-26,Nifty Banking & PSU Debt Index A-II
bandhan-bse-healthcare-index-fund-direct-growth,INF194KB1IS2,2026-08-31,2026-09-26,BSE Healthcare Total Return Index
bandhan-bse-india-sector-leaders-index-fund-direct-growth,INF194KB1KB4,2026-08-31,2026-09-26,BSE India Sector Leaders Total Return Index
bandhan-business-cycle-fund-direct-growth,INF194KB1IQ6,2026-08-31,2026-09-26,NIFTY 500 Total Return Index
bandhan-conservative-hybrid-passive-fof-direct-growth,INF194K016A9,2026-08-31,2026-09-26,CRISIL Hybrid 85+15 Conservative Index
bandhan-contra-fund-direct-growth,,,2026-09-26,
bandhan-credit-risk-fund-direct-growth,INF194KA1X61,2026-08-31,2026-09-26,NIFTY Credit Risk Bond Index B-II
bandhan-crisil-ibx-financial-services-3-6-months-debt-index-fund-direct-growth,INF194KB1JR2,2026-08-31,2026-09-26,CRISIL-IBX Financial Services 3 to 6 Months Debt Index
bandhan-crisil-ibx-gilt-april-2028-index-fund-direct-growth,INF194KB1BV1,2026-08-31,2026-09-26,CRISIL IBX Gilt Index - April 2028
bandhan-crisil-ibx-gilt-april-2032-index-fund-direct-growth,INF194KB1FF5,2026-08-31,2026-09-26,CRISIL IBX Gilt Index - April 2032
bandhan-crisil-ibx-gilt-june-2027-index-fund-direct-growth,INF194KB1BP3,2026-08-31,2026-09-26,CRISIL IBX Gilt Index - June 2027
bandhan-dynamic-term-fund-direct-growth,INF194K01N63,2026-08-31,2026-09-26,NIFTY Composite Debt Index A-III
bandhan-equity-savings-fund-direct-growth,INF194K01Z02,2026-08-31,2026-09-26,CRISIL Equity Saving Index
bandhan-financial-services-fund-direct-growth,INF194KB1GB2,2026-08-31,2026-09-26,NIFTY Financial Services Total Return Index
bandhan-floating-interest-rates-fund-direct-growth,INF194KB1BA5,2026-08-31,2026-09-26,NIFTY Medium Duration Debt Index A-III
bandhan-focused-fund-direct-growth,INF194K01W21,2026-08-31,2026-09-26,BSE 500 Total Return Index
bandhan-gilt-fund-direct-growth,INF194K01Q29,2026-08-31,2026-09-26,CRISIL Dynamic Gilt Index
bandhan-gold-etf-fof-direct-growth,INF194KB1KL3,2026-08-31,2026-09-26,Domestic Price of Gold
bandhan-healthcare-fund-direct-growth,INF194KB1KF5,2026-08-31,2026-09-26,BSE Healthcare Total Return Index
bandhan-i-come-plus-arbitrage-active-fof-direct-growth,INF194K01U72,2026-08-31,2026-09-26,NIFTY Medium Duration Debt Index A-III
bandhan-innovation-fund-direct-growth,INF194KB1IE2,2026-08-31,2026-09-26,NIFTY 500 Total Return Index
bandhan-large-mid-cap-fund-direct-growth,INF194K01V89,2026-08-31,2026-09-26,NIFTY Large Midcap 250 Total Return Index
bandhan-long-term-fund-direct-growth,INF194KB1HY2,2026-08-31,2026-09-26,NIFTY Long Duration Debt Index A-III
bandhan-medium-term-fund-direct-growth,INF194K01S50,2026-08-31,2026-09-26,NIFTY Medium Duration Debt Index A-III
bandhan-medium-to-long-term-fund-direct-growth,INF194K01R51,2026-08-31,2026-09-26,NIFTY Medium to Long Duration Debt Index A-III
bandhan-mid-cap-fund-direct-growth,INF194KB1DJ2,2026-08-31,2026-09-26,BSE 150 MidCap Index
bandhan-money-market-fund-direct-growth,INF194K01M80,2026-08-31,2026-09-26,NIFTY Money Market Index A-I
bandhan-multi-asset-allocation-fund-direct-growth,INF194KB1HM7,2026-08-31,2026-09-26,
